,id,name,latitude,tvperc,dma,dma1,cableperc,adsperc,longitude,state,location
28,637,dma:,42.331217,86.5,637,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",55.4,31.6,-91.7493605,IA,Cedar Rapids-Waterloo-Iowa City & Dubuque IA
29,648,dma:,39.9606635,92.1,648,"Champaign & Springfield-Decatur, IL",57.4,35.2,-89.0627055,IL,Champaign & Springfield-Decatur IL
31,564,dma:,38.376208,94.4,564,"Charleston-Huntington, WV",53.7,41.2,-82.039491,WV,Charleston SC
30,519,dma:,33.181204,92,519,"Charleston, SC",63.7,28.9,-80.042272,SC,Charleston-Huntington WV
32,517,dma:,35.477172,92.6,517,"Charlotte, NC",58.5,34.8,-80.76953,NC,Charlotte NC
33,584,dma:,38.1802125,86.2,584,"Charlottesville, VA",51.3,35.5,-78.4610955,VA,Charlottesville VA
34,575,dma:,35.204094,91.2,575,"Chattanooga, TN",58.6,33.2,-84.7884855,TN,Chattanooga TN
35,759,dma:,41.8048825,92.2,759,"Cheyenne, WY-Scottsbluff, NE",61.6,30.8,-104.3206125,NE,Cheyenne WY-Scottsbluff NE
36,602,dma:,41.615065,89.2,602,"Chicago, IL",62,28.2,-87.8455645,IL,Chicago IL
37,868,dma:,40.3359675,85.4,868,"Chico-Redding, CA",32.3,53.6,-122.350166,CA,Chico-Redding CA
38,515,dma:,39.0338655,85.7,515,"Cincinnati, OH",58.7,27.4,-84.357866,OH,Cincinnati OH
39,598,dma:,38.93329,95.4,598,"Clarksburg-Weston, WV",54.2,42,-80.309074,WV,Clarksburg-Weston WV
40,510,dma:,41.0958885,94.2,510,"Cleveland-Akron (Canton), OH",70.2,24.2,-81.71123,OH,Cleveland-Akron (Canton) OH
41,752,dma:,38.061384,86.5,752,"Colorado Springs-Pueblo, CO",43.6,43.5,-104.0271685,CO,Colorado Springs-Pueblo CO
43,604,dma:,38.8629485,85.6,604,"Columbia-Jefferson City, MO",33.4,52.5,-92.26804,MO,Columbia-Jefferson City MO
42,546,dma:,33.896366,88.6,546,"Columbia, SC",50.5,38.8,-80.9102195,SC,Columbia SC
46,673,dma:,33.9623585,90,673,"Columbus-Tupelo-West Point, MS",31.6,59.3,-88.939003,MS,Columbus-Tupelo-West Point MS
44,522,dma:,32.2969995,93.2,522,"Columbus, GA",66.6,27.2,-84.8353915,GA,Columbus GA
45,535,dma:,39.9719715,89.4,535,"Columbus, OH",67.1,22.4,-82.734151,OH,Columbus OH
47,600,dma:,27.6933695,90.8,600,"Corpus Christi, TX",59.4,32,-97.8595055,TX,Corpus Christi TX
48,623,dma:,32.702473,83.9,623,"Dallas-Ft. Worth, TX",48.5,36.2,-97.098903,TX,Dallas-Ft. Worth TX
49,682,dma:,41.5680725,87.7,682,"Davenport, IA-Rock Island-Moline, IL",54.1,34,-90.4412815,IL,Davenport IA-Rock Island-Moline IL
50,542,dma:,40.1392235,85.4,542,"Dayton, OH",60.8,24.7,-84.3547855,OH,Dayton OH
51,751,dma:,40.9981425,89.6,751,"Denver, CO",48.9,41.1,-108.925452,CO,Denver CO
52,679,dma:,41.8822865,83,679,"Des Moines-Ames, IA",45.2,38.4,-93.6950785,IA,Des Moines-Ames IA
53,505,dma:,42.7069935,89.9,505,"Detroit, MI",69.8,20.6,-83.2883905,MI,Detroit MI
54,606,dma:,31.2429535,91.2,606,"Dothan, AL",54.3,37.5,-85.412413,AL,Dothan AL
55,676,dma:,47.169647,81.6,676,"Duluth, MN-Superior, WI",37.3,44.6,-91.7104225,WI,Duluth MN-Superior WI
56,765,dma:,31.840946,72,765,"El Paso, TX",41.6,31.1,-105.6619505,TX,El Paso TX
57,565,dma:,42.0595215,94.6,565,"Elmira, NY",68.5,26.6,-77.1441155,NY,Elmira NY
58,516,dma:,41.8794375,86.9,516,"Erie, PA",54.8,32.8,-79.717601,PA,Erie PA
59,801,dma:,43.6937855,86.2,801,"Eugene, OR",51.3,35.4,-123.1256445,OR,Eugene OR
60,802,dma:,41.001389,83.9,802,"Eureka, CA",58.6,26.4,-123.908896,CA,Eureka CA
61,649,dma:,37.8233245,89.9,649,"Evansville, IN",49.3,40.9,-87.5662395,IN,Evansville IN
62,724,dma:,47.659799,89.2,724,"Fargo-Valley City, ND",54.9,34.8,-97.1383975,ND,Fargo-Valley City ND
63,513,dma:,43.643882,90.2,513,"Flint-Saginaw-Bay City, MI",59.6,31,-83.847331,MI,Flint-Saginaw-Bay City MI
64,866,dma:,36.846642,80.4,866,"Fresno-Visalia, CA",34.7,46.4,-119.613123,CA,Fresno-Visalia CA
65,571,dma:,26.5720265,94.9,571,"Ft. Myers-Naples, FL",62.5,33.5,-81.6230635,FL,Ft. Myers-Naples FL
66,670,dma:,35.5031505,89.5,670,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",51.1,38.7,-94.202877,AR,Ft. Smith-Fayetteville-Springdale-Rogers AR
67,509,dma:,41.0334615,79,509,"Ft. Wayne, IN",45.1,34.3,-85.1430895,IN,Ft. Wayne IN
68,592,dma:,29.4735495,89.8,592,"Gainesville, FL",56.6,33.9,-82.7294775,FL,Gainesville FL
69,798,dma:,46.836368,93.8,798,"Glendive, MT",68.6,26,-105.065505,MT,Glendive MT
70,773,dma:,38.425681,84.9,773,"Grand Junction-Montrose, CO",52.8,32.5,-108.2153545,CO,Grand Junction-Montrose CO
71,563,dma:,42.7892405,86.4,563,"Grand Rapids-Kalamazoo-Battle Creek, MI",55.2,31.6,-85.624075,MI,Grand Rapids-Kalamazoo-Battle Creek MI
72,755,dma:,47.838823,88,755,"Great Falls, MT",47.3,41.2,-109.9362935,MT,Great Falls MT
73,658,dma:,44.7644785,80,658,"Green Bay-Appleton, WI",49.7,30.6,-88.2017,WI,Green Bay-Appleton WI
74,518,dma:,35.994693,91.9,518,"Greensboro-High Point-Winston Salem, NC",58.9,33.5,-80.4077355,NC,Greensboro-High Point-Winston Salem NC
75,545,dma:,35.342169,89,545,"Greenville-New Bern-Washington, NC",53.7,35.7,-76.9754245,NC,Greenville-New Bern-Washington NC
76,567,dma:,35.0526635,92.8,567,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",46,47.2,-82.697701,SC,Greenville-Spartanburg SC-Asheville NC-Anderson SC
77,647,dma:,33.585109,92.8,647,"Greenwood-Greenville, MS",58.9,35.1,-90.4836365,MS,Greenwood-Greenville MS
78,636,dma:,26.311933,69.7,636,"Harlingen-Weslaco-Brownsville-McAllen, TX",41,29.3,-98.157698,TX,Harlingen-Weslaco-Brownsville-McAllen TX
79,566,dma:,40.2836345,92.5,566,"Harrisburg-Lancaster-Lebanon-York, PA",68,25,-76.882001,PA,Harrisburg-Lancaster-Lebanon-York PA
80,569,dma:,38.4231645,91.8,569,"Harrisonburg, VA",58.4,33.9,-79.0679395,VA,Harrisonburg VA
81,533,dma:,41.612664,98.3,533,"Hartford & New Haven, CT",84.1,15.1,-72.659358,CT,Hartford & New Haven CT
82,710,dma:,31.5670435,90.7,710,"Hattiesburg-Laurel, MS",49.3,42.9,-89.2449615,MS,Hattiesburg-Laurel MS
83,766,dma:,47.1878,82.6,766,"Helena, MT",54.8,28.3,-112.3319335,MT,Helena MT
84,618,dma:,29.606092,83,618,"Houston, TX",56.2,27.6,-95.6464085,TX,Houston TX
85,691,dma:,34.7953925,93.1,691,"Huntsville-Decatur (Florence), AL",56.8,36.6,-86.8583345,AL,Huntsville-Decatur (Florence) AL
86,758,dma:,43.641669,79.8,758,"Idaho Falls-Pocatello, ID",32.7,47.7,-112.6765315,ID,Idaho Falls-Pocatello ID
87,527,dma:,39.84288,86.4,527,"Indianapolis, IN",58.1,28.9,-86.1652105,IN,Indianapolis IN
88,718,dma:,32.1874215,91.6,718,"Jackson, MS",40.7,51.5,-90.485657,MS,Jackson MS
89,639,dma:,35.5707925,91.6,639,"Jackson, TN",59.7,32.6,-88.530231,TN,Jackson TN
90,561,dma:,30.427575,92.1,561,"Jacksonville, FL",58.4,34.3,-82.006576,FL,Jacksonville FL
91,574,dma:,40.673069,95.9,574,"Johnstown-Altoona, PA",59.7,36.6,-78.328162,PA,Johnstown-Altoona PA
92,734,dma:,36.0989355,91.3,734,"Jonesboro, AR",60.5,31.8,-91.1294975,AR,Jonesboro AR
93,603,dma:,37.2695535,81,603,"Joplin, MO-Pittsburg, KS",36.1,45.5,-95.0098365,KS,Joplin MO-Pittsburg KS
94,616,dma:,39.3042305,87.2,616,"Kansas City, MO",62.7,24.7,-94.208994,MO,Kansas City MO
95,557,dma:,36.112655,92.3,557,"Knoxville, TN",57.9,34.9,-84.0422025,TN,Knoxville TN
96,702,dma:,44.313217,86.5,702,"La Crosse-Eau Claire, WI",54,32.9,-91.197266,WI,La Crosse-Eau Claire WI
97,582,dma:,40.3451955,93.1,582,"Lafayette, IN",66.4,27.3,-87.113428,IN,Lafayette IN
98,642,dma:,30.2379905,92.5,642,"Lafayette, LA",58.3,34.7,-92.1119525,LA,Lafayette LA
99,643,dma:,30.2390885,92.5,643,"Lake Charles, LA",64.7,29.3,-93.2619725,LA,Lake Charles LA
100,551,dma:,42.4074535,86.9,551,"Lansing, MI",53.1,34.2,-84.602594,MI,Lansing MI
101,749,dma:,27.388155,80.7,749,"Laredo, TX",53.2,28.6,-99.5051385,TX,Laredo TX
102,839,dma:,37.082759,91.9,839,"Las Vegas, NV",63.1,29.8,-116.121556,NV,Las Vegas NV
103,541,dma:,37.584915,91.6,541,"Lexington, KY",49,42.8,-83.9929735,KY,Lexington KY
104,558,dma:,40.782607,92.4,558,"Lima, OH",73.8,18.8,-84.138823,OH,Lima OH
105,722,dma:,41.282784,89.6,722,"Lincoln & Hastings-Kearney, NE",49.8,40.2,-99.257628,NE,Lincoln & Hastings-Kearney NE
106,693,dma:,34.647081,91.6,693,"Little Rock-Pine Bluff, AR",43.3,48.7,-92.670434,AR,Little Rock-Pine Bluff AR
107,803,dma:,35.132844,87.1,803,"Los Angeles, CA",52.6,35.3,-116.858513,CA,Los Angeles CA
108,529,dma:,38.1524665,89.8,529,"Louisville, KY",62.1,28.2,-85.7750445,KY,Louisville KY
109,651,dma:,33.4181475,83.3,651,"Lubbock, TX",44.6,39.4,-101.791018,TX,Lubbock TX
110,503,dma:,32.6218675,93.4,503,"Macon, GA",49.6,44.3,-83.3190475,GA,Macon GA
111,669,dma:,43.370746,81.6,669,"Madison, WI",49.6,32.4,-89.9627745,WI,Madison WI
112,737,dma:,43.876563,88.9,737,"Mankato, MN",66.8,22.6,-94.4376415,MN,Mankato MN
113,553,dma:,46.8707415,95,553,"Marquette, MI",66.5,28.9,-87.8765355,MI,Marquette MI
114,813,dma:,42.3097025,87.6,813,"Medford-Klamath Falls, OR",39.9,48.1,-121.9634415,OR,Medford-Klamath Falls OR
115,640,dma:,35.1946395,90.8,640,"Memphis, TN",50,41.3,-89.757956,TN,Memphis TN
116,711,dma:,32.3468715,87.1,711,"Meridian, MS",34.6,53.7,-88.5817905,MS,Meridian MS
117,528,dma:,25.439022,93.9,528,"Miami-Fort Lauderdale, FL",69.9,26.5,-80.940626,FL,Miami-Ft. Lauderdale FL
118,617,dma:,43.1921015,77.7,617,"Milwaukee, WI",61,17.6,-88.358241,WI,Milwaukee WI
119,613,dma:,46.0197555,81.9,613,"Minneapolis-St. Paul, MN",54.9,27.5,-94.199023,MN,Minneapolis-St. Paul MN
120,687,dma:,46.8731805,90.2,687,"Minot-Bismarck-Dickinson(Williston), ND",60.4,30.2,-102.71806,ND,Minot-Bismarck-Dickinson(Williston) ND
121,762,dma:,47.229117,83.3,762,"Missoula, MT",37.1,46.5,-114.464452,MT,Missoula MT
122,686,dma:,31.1061175,91,686,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",51.7,39.8,-87.6151775,FL,Mobile AL-Pensacola (Ft. Walton Beach) FL
123,628,dma:,32.1842885,92.4,628,"Monroe, LA-El Dorado, AR",46,47,-91.9321725,AR,Monroe LA-El Dorado AR
124,828,dma:,36.537526,90.1,828,"Monterey-Salinas, CA",52.8,38.5,-121.265832,CA,Monterey-Salinas CA
125,698,dma:,32.0506805,93.9,698,"Montgomery-Selma, AL",64,30.4,-86.7675715,AL,Montgomery (Selma) AL
126,570,dma:,34.2987775,91.3,570,"Myrtle Beach-Florence, SC",66.6,25.2,-79.419767,SC,Florence-Myrtle Beach SC
127,659,dma:,36.07259,92.5,659,"Nashville, TN",56.7,36.5,-86.631128,TN,Nashville TN
128,622,dma:,29.9723295,92.2,622,"New Orleans, LA",60.2,33.5,-90.0824885,LA,New Orleans LA
129,501,dma:,40.839717,96.8,501,"New York, NY",84.2,13.8,-73.6072985,NY,New York NY
130,544,dma:,36.608336,92.1,544,"Norfolk-Portsmouth-Newport News, VA",69.5,23.1,-76.3720915,VA,Norfolk-Portsmouth-Newport News VA
131,740,dma:,41.394995,91,740,"North Platte, NE",61.9,30.4,-100.836179,NE,North Platte NE
132,633,dma:,30.781491,94.2,633,"Odessa-Midland, TX",62.8,32.4,-103.077288,TX,Odessa-Midland TX
133,650,dma:,35.667342,84,650,"Oklahoma City, OK",53.4,30.8,-97.9919705,OK,Oklahoma City OK
134,652,dma:,41.1056295,89.1,652,"Omaha, NE",67.8,21.7,-96.150686,NE,Omaha NE
135,534,dma:,28.6562235,94.2,534,"Orlando-Daytona Beach-Melbourne, FL",69.1,26.2,-81.4963015,FL,Orlando-Daytona Beach-Melbourne FL
136,631,dma:,40.384083,87,631,"Ottumwa, IA-Kirksville, MO",48.6,38.8,-92.545142,MO,Ottumwa IA-Kirksville MO
137,632,dma:,37.2352865,91.2,632,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",36.6,55.2,-89.497325,IL,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
138,804,dma:,33.72988,96.3,804,"Palm Springs, CA",75,22.6,-116.2354255,CA,Palm Springs CA
139,656,dma:,30.293713,90,656,"Panama City, FL",63,27.8,-85.3696325,FL,Panama City FL
140,597,dma:,39.336078,94.4,597,"Parkersburg, WV",72,23.4,-81.4306435,WV,Parkersburg WV
141,675,dma:,40.6826125,89.4,675,"Peoria-Bloomington, IL",59.5,30.4,-89.343186,IL,Peoria-Bloomington IL
142,504,dma:,39.8995855,94.7,504,"Philadelphia, PA",79.1,17,-75.3874975,PA,Philadelphia PA
143,753,dma:,34.7133875,86.5,753,"Phoenix, AZ",48.2,38.8,-111.899851,AZ,Phoenix AZ
144,508,dma:,40.409733,94.5,508,"Pittsburgh, PA",71.4,23.5,-79.6590145,PA,Pittsburgh PA
146,500,dma:,44.366668,91.3,500,"Portland-Auburn, ME",67.9,23.7,-70.1830055,ME,Portland-Auburn ME
145,820,dma:,44.191309,87.6,820,"Portland, OR",56.8,31,-120.4498885,OR,Portland OR
147,552,dma:,46.519615,91,552,"Presque Isle, ME",56.2,35.9,-68.9025615,ME,Presque Isle ME
148,521,dma:,41.620932,93.9,521,"Providence, RI-New Bedford, MA",84.8,9.5,-71.351281,MA,Providence RI-New Bedford MA
149,717,dma:,40.066065,86.9,717,"Quincy, IL-Hannibal, MO-Keokuk, IA",41,46.4,-91.1726125,IA,Quincy IL-Hannibal MO-Keokuk IA
150,560,dma:,35.72255,89.9,560,"Raleigh-Durham (Fayetteville), NC",55.6,35.1,-78.4212995,NC,Raleigh-Durham (Fayetteville) NC
151,764,dma:,43.7649485,89.7,764,"Rapid City, SD",61.9,28.3,-104.4792695,SD,Rapid City SD
152,811,dma:,39.4852355,89.3,811,"Reno, NV",46.8,43,-118.959289,NV,Reno NV
153,556,dma:,37.4686305,91.5,556,"Richmond-Petersburg, VA",56.1,35.6,-77.5349825,VA,Richmond-Petersburg VA
154,573,dma:,37.6408795,90.1,573,"Roanoke-Lynchburg, VA",40.6,49.8,-79.9113685,VA,Roanoke-Lynchburg VA
156,611,dma:,43.552183,89,611,"Rochester, MN-Mason City, IA-Austin, MN",57,32.4,-92.850969,MN,Rochester MN-Mason City IA-Austin MN
155,538,dma:,42.9137715,87.6,538,"Rochester, NY",69.5,18.6,-77.387152,NY,Rochester NY
157,610,dma:,42.0453555,89.6,610,"Rockford, IL",59.7,30.4,-89.316059,IL,Rockford IL
158,862,dma:,38.7885185,90.9,862,"Sacramento-Stockton-Modesto, CA",52.2,39.6,-120.9905465,CA,Sacramento-Stockton-Modesto CA
159,576,dma:,38.4437985,93.5,576,"Salisbury, MD",74.5,19.5,-75.548586,MD,Salisbury MD
160,770,dma:,40.23193,82.5,770,"Salt Lake City, UT",42.7,40,-112.26407,UT,Salt Lake City UT
161,661,dma:,31.186904,95.4,661,"San Angelo, TX",57.3,39,-100.740601,TX,San Angelo TX
162,641,dma:,29.2651455,87.8,641,"San Antonio, TX",58.5,29.4,-99.1607395,TX,San Antonio TX
163,825,dma:,33.0195915,93.8,825,"San Diego, CA",80.6,13.7,-116.8402815,CA,San Diego CA
164,807,dma:,38.4477155,92.6,807,"San Francisco-Oakland-San Jose, CA",65,28.3,-122.6193155,CA,San Francisco-Oakland-San Jose CA
165,855,dma:,34.844663,92.4,855,"Santa Barbara-Santa Maria-San Luis Obispo, CA",58.4,34.8,-120.4100205,CA,Santa Barbara-Santa Maria-San Luis Obispo CA
166,507,dma:,32.168191,95.2,507,"Savannah, GA",58.7,37.3,-81.6330685,GA,Savannah GA
167,819,dma:,47.621239,93.8,819,"Seattle-Tacoma, WA",72.8,21.3,-121.842349,WA,Seattle-Tacoma WA
168,657,dma:,34.181478,86.9,657,"Sherman, TX-Ada, OK",39.9,47.8,-96.2499835,OK,Sherman TX-Ada OK
169,612,dma:,32.820852,91.7,612,"Shreveport, LA",37.3,55.2,-94.0138375,LA,Shreveport LA
170,624,dma:,42.621459,86.5,624,"Sioux City, IA",54.1,32.8,-96.376337,IA,Sioux City IA
171,725,dma:,44.0133785,89.5,725,"Sioux Falls (Mitchell), SD",63.3,26.5,-98.735199,SD,Sioux Falls(Mitchell) SD
172,588,dma:,41.576527,79.9,588,"South Bend-Elkhart, IN",40.8,39.6,-86.062314,IN,South Bend-Elkhart IN
173,881,dma:,47.0398515,85.2,881,"Spokane, WA",40.5,45,-117.603633,WA,Spokane WA
175,543,dma:,42.3856895,94.8,543,"Springfield-Holyoke, MA",81.5,14,-72.6017095,MA,Springfield MO
174,619,dma:,37.1293385,81.9,619,"Springfield, MO",30.8,51.7,-92.5469955,MO,Springfield-Holyoke MA
176,638,dma:,40.055305,86.6,638,"St. Joseph, MO",57.8,29.4,-94.8792055,MO,St. Joseph MO
177,609,dma:,38.434253,89.9,609,"St. Louis, MO",50.5,39.7,-90.169254,MO,St. Louis MO
178,555,dma:,42.9849975,91.1,555,"Syracuse, NY",74.9,16.7,-76.1014455,NY,Syracuse NY
179,530,dma:,30.462299,93,530,"Tallahassee, FL-Thomasville, GA",55.1,38.6,-83.675708,GA,Tallahassee FL-Thomasville GA
180,539,dma:,27.9989465,92.8,539,"Tampa-St. Petersburg (Sarasota), FL",78.9,14.7,-81.8973955,FL,Tampa-St. Petersburg (Sarasota) FL
181,581,dma:,39.2814045,88.6,581,"Terre Haute, IN",38.8,50.6,-87.6904085,IN,Terre Haute IN
182,547,dma:,41.384993,88.4,547,"Toledo, OH",63.6,25.1,-83.7585085,OH,Toledo OH
183,605,dma:,39.0201515,88.8,605,"Topeka, KS",58,31.3,-96.5557205,KS,Topeka KS
184,540,dma:,45.119199,86.9,540,"Traverse City-Cadillac, MI",45.5,41.7,-84.9520115,MI,Traverse City-Cadillac MI
185,531,dma:,36.732483,93.6,531,"Tri-Cities, TN-VA",56.5,37.5,-82.468517,VA,Tri-Cities TN-VA
186,789,dma:,31.923023,87.1,789,"Tucson (Sierra Vista), AZ",48.3,39.3,-111.1907555,AZ,Tucson (Sierra Vista) AZ
187,671,dma:,35.9900205,87.7,671,"Tulsa, OK",50.1,37.6,-95.7685615,OK,Tulsa OK
188,760,dma:,42.994495,80.9,760,"Twin Falls, ID",34.4,47.2,-114.043651,ID,Twin Falls ID
189,709,dma:,32.1070105,91.3,709,"Tyler-Longview(Lufkin & Nacogdoches), TX",38,53.7,-94.8806935,TX,Tyler-Longview(Lufkin & Nacogdoches) TX
190,526,dma:,43.205527,92.5,526,"Utica, NY",75.7,17.4,-75.026249,NY,Utica NY
191,626,dma:,28.805652,90.7,626,"Victoria, TX",60.6,30.9,-96.973793,TX,Victoria TX
192,625,dma:,31.0795205,91.3,625,"Waco-Temple-Bryan, TX",52.9,38.8,-97.3521605,TX,Waco-Temple-Bryan TX
193,511,dma:,39.127683,94.1,511,"Washington, DC (Hagerstown, MD)",69.7,25.1,-77.904362,DC,Washington DC (Hagerstown MD)
194,549,dma:,44.217164,93,549,"Watertown, NY",69.8,23.8,-75.4894475,NY,Watertown NY
195,705,dma:,44.9711405,84.1,705,"Wausau-Rhinelander, WI",46,38.5,-89.6752625,WI,Wausau-Rhinelander WI
196,548,dma:,27.096694,96.8,548,"West Palm Beach-Ft. Pierce, FL",71.6,26.8,-80.6271745,FL,West Palm Beach-Ft. Pierce FL
197,554,dma:,39.96655,93.2,554,"Wheeling, WV-Steubenville, OH",69.8,24.6,-81.0435735,OH,Wheeling WV-Steubenville OH
198,627,dma:,33.9059285,90.7,627,"Wichita Falls, TX-Lawton, OK",42.5,48.8,-99.039775,OK,Wichita Falls TX & Lawton OK
199,678,dma:,38.672948,88.4,678,"Wichita-Hutchinson, KS Plus",60.7,28.1,-99.005353,us,Wichita-Hutchinson KS
200,577,dma:,41.2488125,94.4,577,"Wilkes Barre-Scranton, PA",61.8,33.2,-76.530153,PA,Wilkes Barre-Scranton PA
201,550,dma:,34.3480385,92.1,550,"Wilmington, NC",62.4,30.2,-78.294559,NC,Wilmington NC
202,810,dma:,46.29578,85.4,810,"Yakima-Pasco-Richland-Kennewick, WA",37.6,48.3,-119.748852,WA,Yakima-Pasco-Richland-Kennewick WA
203,536,dma:,41.0505515,89,536,"Youngstown, OH",64,25.4,-80.543523,OH,Youngstown OH
204,771,dma:,32.751631,81.3,771,"Yuma, AZ-El Centro, CA",38.3,43.8,-114.7199745,CA,Yuma AZ-El Centro CA
205,596,dma:,39.961236,94.3,596,"Zanesville, OH",70.3,24.1,-81.9657085,OH,Zanesville OH
205,NA,dma:,NA,NA,NA,no,,,,,Fairbanks AK
207,NA,dma:,NA,NA,NA,no,,,,,Honolulu HI
208,NA,dma:,NA,NA,NA,no,,,,,Juneau AK
